MUN_PROV,MUN_CODI,MUN_INE,MUN_DIGIT,MUN_NOM,MUN_NOM2,MUN_NOM3,MUN_NOM2_PART,MUN_BAIXA,MUN_DATA_ACT
8.0000000000000000e+00,1.0000000000000000e+00,"08001",,"ABRERA","Abrera","Abrera",,,
8.0000000000000000e+00,2.0000000000000000e+00,"08002",,"AGUILAR DE SEGARRA","Aguilar de Segarra","Aguilar de Segarra",,,
8.0000000000000000e+00,3.0000000000000000e+00,"08003",,"ALELLA","Alella","Alella",,,
8.0000000000000000e+00,4.0000000000000000e+00,"08004",,"ALPENS","Alpens","Alpens",,,
8.0000000000000000e+00,5.0000000000000000e+00,"08005",,"AMETLLA DEL VALLES, L'","Ametlla del Vallès","L'Ametlla del Vallès","L'",,
8.0000000000000000e+00,6.0000000000000000e+00,"08006",,"ARENYS DE MAR","Arenys de Mar","Arenys de Mar",,,
8.0000000000000000e+00,7.0000000000000000e+00,"08007",,"ARENYS DE MUNT","Arenys de Munt","Arenys de Munt",,,
8.0000000000000000e+00,8.0000000000000000e+00,"08008",,"ARGENÇOLA","Argençola","Argençola",,,
8.0000000000000000e+00,9.0000000000000000e+00,"08009",,"ARGENTONA","Argentona","Argentona",,,
8.0000000000000000e+00,1.0000000000000000e+01,"08010",,"ARTES","Artés","Artés",,,
8.0000000000000000e+00,1.1000000000000000e+01,"08011",,"AVIA","Avià","Avià",,,
8.0000000000000000e+00,1.2000000000000000e+01,"08012",,"AVINYO","Avinyó","Avinyó",,,
8.0000000000000000e+00,1.3000000000000000e+01,"08013",,"AVINYONET DEL PENEDES","Avinyonet del Penedès","Avinyonet del Penedès",,,
8.0000000000000000e+00,1.4000000000000000e+01,"08014",,"AIGUAFREDA","Aiguafreda","Aiguafreda",,,
8.0000000000000000e+00,1.5000000000000000e+01,"08015",,"BADALONA","Badalona","Badalona",,,
8.0000000000000000e+00,1.6000000000000000e+01,"08016",,"BAGA","Bagà","Bagà",,,
8.0000000000000000e+00,1.7000000000000000e+01,"08017",,"BALENYA","Balenyà","Balenyà",,,
8.0000000000000000e+00,1.8000000000000000e+01,"08018",,"BALSARENY","Balsareny","Balsareny",,,
8.0000000000000000e+00,1.9000000000000000e+01,"08019",,"BARCELONA","Barcelona","Barcelona",,,
8.0000000000000000e+00,2.0000000000000000e+01,"08020",,"BEGUES","Begues","Begues",,,
8.0000000000000000e+00,2.1000000000000000e+01,"08021",,"BELLPRAT","Bellprat","Bellprat",,,
8.0000000000000000e+00,2.2000000000000000e+01,"08022",,"BERGA","Berga","Berga",,,
8.0000000000000000e+00,2.3000000000000000e+01,"08023",,"BIGUES I RIELLS","Bigues i Riells","Bigues i Riells",,,
