,MUN_INE,Val,ANY_
0,8,2183090,2018
1,8001,4326,2018
2,8002,47,2018
3,8003,3391,2018
4,8004,192,2018
5,8005,2847,2018
6,8006,7125,2018
7,8007,3697,2018
8,8008,156,2018
9,8009,4374,2018
10,8010,1951,2018
11,8011,896,2018
12,8012,872,2018
13,8013,688,2018
14,8014,1114,2018
15,8015,81924,2018
16,8016,1241,2018
17,8017,1274,2018
18,8018,1408,2018
19,8019,656309,2018
20,8020,2293,2018
21,8021,67,2018
22,8022,7456,2018
23,8023,3835,2018
24,8024,273,2018
25,8025,999,2018
26,8026,103,2018
27,8027,296,2018
28,8028,1008,2018
29,8029,1915,2018
30,8030,2753,2018
31,8031,1423,2018
32,8032,1689,2018
33,8033,6253,2018
34,8034,504,2018
35,8035,9101,2018
36,8036,107,2018
37,8037,809,2018
38,8038,569,2018
39,8039,199,2018
40,8040,6462,2018
41,8041,5522,2018
42,8042,1291,2018
43,8043,2386,2018
44,8044,2351,2018
45,8045,50,2018
46,8046,6074,2018
47,8047,1843,2018
48,8048,377,2018
49,8049,786,2018
50,8050,107,2018
51,8051,8716,2018
52,8052,200,2018
53,8053,1758,2018
54,8054,4542,2018
55,8055,370,2018
56,8056,25722,2018
57,8057,12,2018
58,8058,1395,2018
59,8059,73,2018
60,8060,149,2018
61,8061,756,2018
62,8062,538,2018
63,8063,205,2018
64,8064,1269,2018
65,8065,693,2018
66,8066,735,2018
67,8067,3090,2018
68,8068,3289,2018
69,8069,1639,2018
70,8070,171,2018
71,8071,183,2018
72,8072,5681,2018
73,8073,32702,2018
74,8074,9650,2018
75,8075,2336,2018
76,8076,8926,2018
77,8077,17314,2018
78,8078,124,2018
79,8079,249,2018
80,8080,30,2018
81,8081,240,2018
82,8082,834,2018
83,8083,755,2018
84,8084,490,2018
85,8085,415,2018
86,8086,6204,2018
87,8087,91,2018
88,8088,5870,2018
89,8089,18100,2018
90,8090,98,2018
91,8091,2785,2018
92,8092,2097,2018
93,8093,33,2018
94,8094,762,2018
95,8095,103,2018
96,8096,22741,2018
97,8097,600,2018
98,8098,1465,2018
99,8099,520,2018
100,8100,686,2018
101,8101,98212,2018
102,8102,14832,2018
103,8103,326,2018
104,8104,631,2018
105,8105,5071,2018
106,8106,3532,2018
107,8107,5561,2018
108,8108,2400,2018
109,8109,185,2018
110,8110,8537,2018
111,8111,92,2018
112,8112,7673,2018
113,8113,29364,2018
114,8114,9775,2018
115,8115,1888,2018
116,8116,189,2018
117,8117,1246,2018
118,8118,9134,2018
119,8119,3782,2018
120,8120,2901,2018
121,8121,45461,2018
122,8122,1681,2018
123,8123,9484,2018
124,8124,19546,2018
125,8125,12486,2018
126,8126,4160,2018
127,8127,1394,2018
128,8128,434,2018
129,8129,306,2018
130,8130,86,2018
131,8131,454,2018
132,8132,222,2018
133,8133,112,2018
134,8134,390,2018
135,8135,3117,2018
136,8136,5479,2018
137,8137,198,2018
138,8138,2403,2018
139,8139,236,2018
140,8140,2234,2018
141,8141,2272,2018
142,8142,49,2018
143,8143,1087,2018
144,8144,420,2018
145,8145,1568,2018
146,8146,946,2018
147,8147,9038,2018
148,8148,1621,2018
149,8149,528,2018
150,8150,112,2018
151,8151,278,2018
152,8152,59,2018
153,8153,304,2018
154,8154,324,2018
155,8155,3520,2018
156,8156,5087,2018
157,8157,4102,2018
158,8158,1543,2018
159,8159,6181,2018
160,8160,244,2018
161,8161,7341,2018
162,8162,1278,2018
163,8163,14865,2018
164,8164,413,2018
165,8165,863,2018
166,8166,831,2018
167,8167,2739,2018
168,8168,485,2018
169,8169,23939,2018
170,8170,275,2018
171,8171,1197,2018
172,8172,11710,2018
173,8174,186,2018
174,8175,1755,2018
175,8176,124,2018
176,8177,28,2018
177,8178,97,2018
178,8179,451,2018
179,8180,13776,2018
180,8181,3693,2018
181,8182,1541,2018
182,8183,2038,2018
183,8184,28170,2018
184,8185,91,2018
185,8187,81126,2018
186,8188,64,2018
187,8189,90,2018
188,8190,122,2018
189,8191,2763,2018
190,8192,2409,2018
191,8193,641,2018
192,8194,11924,2018
193,8195,69,2018
194,8196,9334,2018
195,8197,4572,2018
196,8198,2292,2018
197,8199,332,2018
198,8200,30984,2018
199,8201,300,2018
200,8202,6379,2018
201,8203,1984,2018
202,8204,1385,2018
203,8205,27018,2018
204,8206,327,2018
205,8207,816,2018
206,8208,2691,2018
207,8209,2851,2018
208,8210,2341,2018
209,8211,16080,2018
210,8212,311,2018
211,8213,2956,2018
212,8214,3395,2018
213,8215,1480,2018
214,8216,18,2018
215,8217,12039,2018
216,8218,3845,2018
217,8219,9260,2018
218,8220,1175,2018
219,8221,5723,2018
220,8222,1043,2018
221,8223,1150,2018
222,8224,352,2018
223,8225,65,2018
224,8226,497,2018
225,8227,1266,2018
226,8228,212,2018
227,8229,385,2018
228,8230,3674,2018
229,8231,12521,2018
230,8232,1046,2018
231,8233,818,2018
232,8234,2033,2018
233,8235,3554,2018
234,8236,1031,2018
235,8237,965,2018
236,8238,6403,2018
237,8239,387,2018
238,8240,4599,2018
239,8241,105,2018
240,8242,253,2018
241,8243,70,2018
242,8244,2839,2018
243,8245,44097,2018
244,8246,774,2018
245,8247,297,2018
246,8248,2878,2018
247,8249,129,2018
248,8250,3584,2018
249,8251,2386,2018
250,8252,12013,2018
251,8253,89,2018
252,8254,921,2018
253,8255,102,2018
254,8256,330,2018
255,8257,88,2018
256,8258,441,2018
257,8259,3468,2018
258,8260,8652,2018
259,8261,1741,2018
260,8262,3098,2018
261,8263,10173,2018
262,8264,3286,2018
263,8265,790,2018
264,8266,21846,2018
265,8267,2825,2018
266,8268,1018,2018
267,8269,1617,2018
268,8270,16142,2018
269,8271,53,2018
270,8272,109,2018
271,8273,1376,2018
272,8274,2521,2018
273,8275,162,2018
274,8276,118,2018
275,8277,220,2018
276,8278,2391,2018
277,8279,86994,2018
278,8280,167,2018
279,8281,2137,2018
280,8282,2681,2018
281,8283,3000,2018
282,8284,7231,2018
283,8285,5174,2018
284,8286,1889,2018
285,8287,538,2018
286,8288,1648,2018
287,8289,2118,2018
288,8290,610,2018
289,8291,2963,2018
290,8292,607,2018
291,8293,212,2018
292,8294,1302,2018
293,8295,5786,2018
294,8296,996,2018
295,8297,123,2018
296,8298,15926,2018
297,8299,208,2018
298,8300,2504,2018
299,8301,23784,2018
300,8302,4506,2018
301,8303,247,2018
302,8304,403,2018
303,8305,14544,2018
304,8306,248,2018
305,8307,29071,2018
306,8308,89,2018
307,8901,274,2018
308,8902,1749,2018
309,8903,175,2018
310,8904,5372,2018
311,8905,1193,2018
