,MUN_INE,Val,ANY_
0,8,2.6157999456,2018
1,8001,0.6573859242,2018
2,8002,2.0,2018
3,8003,0.4741833509,2018
4,8004,1.8264840183,2018
5,8005,0.153233221,2018
6,8006,1.6428935303,2018
7,8007,1.1513157895,2018
8,8008,0.6097560976,2018
9,8009,1.0056568196,2018
10,8010,0.487606664,2018
11,8011,0.6737247353,2018
12,8012,0.296735905,2018
13,8013,0.3759398496,2018
14,8014,0.5681818182,2018
15,8015,6.3940995412,2018
16,8016,1.7798286091,2018
17,8017,0.7222586999,2018
18,8018,2.0702634881,2018
19,8019,4.0290743374,2018
20,8020,0.1102535832,2018
21,8021,1.4084507042,2018
22,8022,0.9230400384,2018
23,8023,0.2824858757,2018
24,8024,0.6688963211,2018
25,8025,1.6992353441,2018
26,8026,0.8695652174,2018
27,8027,,2018
28,8028,3.3333333333,2018
29,8029,0.3891050584,2018
30,8030,0.06702412870000002,2018
31,8031,2.9758562605,2018
32,8032,2.792022792,2018
33,8033,0.3581148833,2018
34,8034,0.1814882033,2018
35,8035,4.9077929804,2018
36,8036,0.9009009009,2018
37,8037,0.205338809,2018
38,8038,1.2048192771,2018
39,8039,0.7843137255,2018
40,8040,2.7796985203,2018
41,8041,1.4058265583,2018
42,8042,0.979020979,2018
43,8043,5.4584373885,2018
44,8044,5.8277654046,2018
45,8045,,2018
46,8046,0.1989484155,2018
47,8047,0.4100461302,2018
48,8048,0.9411764706,2018
49,8049,0.6810442679,2018
50,8050,0.8620689655,2018
51,8051,0.1758196297,2018
52,8052,,2018
53,8053,1.9287833828,2018
54,8054,0.512190125,2018
55,8055,1.1086474501,2018
56,8056,1.8943318041,2018
57,8057,6.6666666667,2018
58,8058,1.213592233,2018
59,8059,,2018
60,8060,1.3245033113,2018
61,8061,2.2644927536,2018
62,8062,1.5267175573,2018
63,8063,0.3533568905,2018
64,8064,0.2050580998,2018
65,8065,0.269541779,2018
66,8066,6.3901345291,2018
67,8067,2.7298050139,2018
68,8068,0.291005291,2018
69,8069,0.2096436059,2018
70,8070,0.518134715,2018
71,8071,,2018
72,8072,0.3628332545,2018
73,8073,0.6820143885,2018
74,8074,1.0088629078,2018
75,8075,0.6028636021,2018
76,8076,1.4701249606,2018
77,8077,9.4213690772,2018
78,8078,,2018
79,8079,,2018
80,8080,,2018
81,8081,0.3968253968,2018
82,8082,2.7777777778,2018
83,8083,0.1166861144,2018
84,8084,1.9031141869,2018
85,8085,0.2202643172,2018
86,8086,0.3700766587,2018
87,8087,,2018
88,8088,0.7359434795,2018
89,8089,0.8942962616,2018
90,8090,0.8849557522,2018
91,8091,2.391118702,2018
92,8092,3.5639412998,2018
93,8093,25.641025641,2018
94,8094,3.3613445378,2018
95,8095,2.8037383178,2018
96,8096,0.5773625757,2018
97,8097,0.7643312102,2018
98,8098,0.38585209,2018
99,8099,2.0989505247,2018
100,8100,,2018
101,8101,3.5806517134,2018
102,8102,1.15535016,2018
103,8103,1.179245283,2018
104,8104,2.1834061135,2018
105,8105,0.5608199575,2018
106,8106,0.8984944148,2018
107,8107,0.6305578011,2018
108,8108,0.3458877786,2018
109,8109,2.5641025641,2018
110,8110,1.0144321272,2018
111,8111,,2018
112,8112,3.4987794955,2018
113,8113,0.9410554345,2018
114,8114,0.9840450941,2018
115,8115,0.5151983514,2018
116,8116,,2018
117,8117,0.1471670346,2018
118,8118,1.5249206837,2018
119,8119,1.1491442543,2018
120,8120,0.344395742,2018
121,8121,1.3737033922,2018
122,8122,1.9271948608,2018
123,8123,0.4701733764,2018
124,8124,0.2504542553,2018
125,8125,0.8519553073,2018
126,8126,1.25496758,2018
127,8127,2.5096525097,2018
128,8128,0.4175365344,2018
129,8129,1.0526315789,2018
130,8130,1.1627906977,2018
131,8131,0.4966887417,2018
132,8132,5.1851851852,2018
133,8133,,2018
134,8134,0.2132196162,2018
135,8135,0.118835413,2018
136,8136,0.2659990612,2018
137,8137,1.8604651163,2018
138,8138,0.6423258959,2018
139,8139,0.4149377593,2018
140,8140,0.7874015747999998,2018
141,8141,0.5283550546,2018
142,8142,,2018
143,8143,1.6117729502,2018
144,8144,1.2711864407,2018
145,8145,4.2372881356,2018
146,8146,0.4582951421,2018
147,8147,1.0439054344,2018
148,8148,0.7716749886999998,2018
149,8149,0.5110732538,2018
150,8150,,2018
151,8151,,2018
152,8152,,2018
153,8153,,2018
154,8154,0.5494505495,2018
155,8155,3.7234042553,2018
156,8156,0.3069146055,2018
157,8157,0.3392130258,2018
158,8158,0.7071302298,2018
159,8159,0.2365711105,2018
160,8160,,2018
161,8161,0.8741468087999998,2018
162,8162,1.2987012987,2018
163,8163,3.6424468152,2018
164,8164,0.2911208151,2018
165,8165,1.1033099298,2018
166,8166,1.0044642857,2018
167,8167,1.3897662666,2018
168,8168,3.6538461538,2018
169,8169,0.7195970257,2018
170,8170,1.2422360248,2018
171,8171,6.4212999217,2018
172,8172,0.7957559682,2018
173,8174,,2018
174,8175,0.8691453404,2018
175,8176,0.7042253521,2018
176,8177,3.4482758621,2018
177,8178,,2018
178,8179,1.3671875,2018
179,8180,1.0103064822,2018
180,8181,0.6965405154,2018
181,8182,2.2163588391,2018
182,8183,0.3368263473,2018
183,8184,0.9412216673,2018
184,8185,,2018
185,8187,0.3656225116,2018
186,8188,18.4615384615,2018
187,8189,,2018
188,8190,,2018
189,8191,0.5817513778,2018
190,8192,0.5139736588,2018
191,8193,2.1534320323,2018
192,8194,0.5037604654,2018
193,8195,,2018
194,8196,0.3775834658,2018
195,8197,0.5313092979,2018
196,8198,2.5484199796,2018
197,8199,,2018
198,8200,0.362040929,2018
199,8201,,2018
200,8202,0.4947185453,2018
201,8203,0.8356545961,2018
202,8204,0.3787878788,2018
203,8205,0.6301412386,2018
204,8206,1.0256410256,2018
205,8207,,2018
206,8208,1.2632197415,2018
207,8209,1.328390485,2018
208,8210,0.3635041803,2018
209,8211,0.3572036061,2018
210,8212,,2018
211,8213,0.7271747912999998,2018
212,8214,0.7034632035,2018
213,8215,0.6528189911,2018
214,8216,,2018
215,8217,0.6672802577,2018
216,8218,0.6466512702,2018
217,8219,6.1510353228,2018
218,8220,0.4580152672,2018
219,8221,31.5204143815,2018
220,8222,0.304414003,2018
221,8223,1.6768292683,2018
222,8224,,2018
223,8225,,2018
224,8226,0.5366726297,2018
225,8227,,2018
226,8228,0.8196721311,2018
227,8229,9.0909090909,2018
228,8230,1.2658227848,2018
229,8231,1.3322713779,2018
230,8232,5.076142132,2018
231,8233,,2018
232,8234,0.8296943231,2018
233,8235,3.1349628055,2018
234,8236,1.8394648829,2018
235,8237,2.6565464896,2018
236,8238,0.6976120204,2018
237,8239,1.1013215859,2018
238,8240,0.4082390054,2018
239,8241,4.7619047619,2018
240,8242,2.7450980392,2018
241,8243,1.3888888889,2018
242,8244,0.4330446369,2018
243,8245,1.3732072017,2018
244,8246,1.847826087,2018
245,8247,0.6289308176,2018
246,8248,0.7381258023,2018
247,8249,,2018
248,8250,0.9119270458,2018
249,8251,0.3244646334,2018
250,8252,4.7460087083,2018
251,8253,,2018
252,8254,0.6944444444,2018
253,8255,,2018
254,8256,0.2680965147,2018
255,8257,0.9803921569,2018
256,8258,3.7735849057,2018
257,8259,1.1648079306,2018
258,8260,0.1777870738,2018
259,8261,1.8798955614,2018
260,8262,1.0927634774,2018
261,8263,0.9150326797,2018
262,8264,1.8702181921,2018
263,8265,0.5586592179,2018
264,8266,0.2450015313,2018
265,8267,1.6120218579,2018
266,8268,7.495256167,2018
267,8269,0.3269754768,2018
268,8270,5.0542127852,2018
269,8271,,2018
270,8272,,2018
271,8273,1.2281835811,2018
272,8274,1.1556518599,2018
273,8275,,2018
274,8276,0.8196721311,2018
275,8277,0.8438818565,2018
276,8278,1.4482259232,2018
277,8279,5.3375036812,2018
278,8280,0.5263157895,2018
279,8281,0.8975928193,2018
280,8282,0.8692852543,2018
281,8283,3.1618281115,2018
282,8284,3.5436841545,2018
283,8285,0.4334778259,2018
284,8286,0.8608971453999998,2018
285,8287,0.8683068016999999,2018
286,8288,3.4559643255,2018
287,8289,0.599760096,2018
288,8290,0.5115089514,2018
289,8291,1.7825311943,2018
290,8292,2.743902439,2018
291,8293,0.4,2018
292,8294,1.1486917677,2018
293,8295,1.7827213165,2018
294,8296,1.0638297872,2018
295,8297,3.9682539683,2018
296,8298,1.3738799891,2018
297,8299,0.4405286344,2018
298,8300,0.7470651014,2018
299,8301,0.6487379099,2018
300,8302,1.2979351032,2018
301,8303,5.46875,2018
302,8304,0.4385964912,2018
303,8305,0.8518776078,2018
304,8306,0.3194888179,2018
305,8307,2.2523507544,2018
306,8308,,2018
307,8901,1.7064846416,2018
308,8902,0.3358925144,2018
309,8903,0.487804878,2018
310,8904,,2018
311,8905,1.7405063291,2018
