,MUN_INE,ANY_,Val
0,8208,2018,20.0
1,8209,2018,14.0
2,8210,2018,80.0
3,8211,2018,24.0
4,8212,2018,
5,8213,2018,41.0
6,8214,2018,14.0
7,8215,2018,26.0
8,8216,2018,0.0
9,8217,2018,12.0
10,8218,2018,36.0
11,8219,2018,6.0
12,8220,2018,
13,8221,2018,
14,8222,2018,40.0
15,8223,2018,20.0
16,8029,2018,
17,8030,2018,11.0
18,8031,2018,39.0
19,8032,2018,7.0
20,8033,2018,50.0
21,8034,2018,
22,8035,2018,35.0
23,8036,2018,
24,8037,2018,6.0
25,8106,2018,64.0
26,8107,2018,38.0
27,8108,2018,15.0
28,8109,2018,0.0
29,8110,2018,57.0
30,8111,2018,0.0
31,8112,2018,101.0
32,8113,2018,478.0
33,8114,2018,54.0
34,8115,2018,
35,8116,2018,
36,8117,2018,
37,8118,2018,20.0
38,8119,2018,60.0
39,8120,2018,12.0
40,8121,2018,201.0
41,8122,2018,33.0
42,8123,2018,23.0
43,8124,2018,109.0
44,8125,2018,50.0
45,8126,2018,6.0
46,8127,2018,54.0
47,8128,2018,23.0
48,8129,2018,
49,8130,2018,0.0
50,8131,2018,24.0
51,8132,2018,0.0
52,8133,2018,0.0
53,8134,2018,53.0
54,8181,2018,23.0
55,8026,2018,0.0
56,8027,2018,21.0
57,8028,2018,19.0
58,8274,2018,27.0
59,8275,2018,0.0
60,8276,2018,
61,8277,2018,
62,8278,2018,14.0
63,8279,2018,709.0
64,8280,2018,0.0
65,8281,2018,14.0
66,8282,2018,
67,8283,2018,38.0
68,8284,2018,234.0
69,8285,2018,83.0
70,8286,2018,69.0
71,8287,2018,13.0
72,8288,2018,52.0
73,8289,2018,15.0
74,8290,2018,26.0
75,8291,2018,75.0
76,8292,2018,10.0
77,8293,2018,0.0
78,8294,2018,47.0
79,8295,2018,56.0
80,8296,2018,14.0
81,8297,2018,0.0
82,8298,2018,85.0
83,8299,2018,0.0
84,8300,2018,31.0
85,8301,2018,84.0
86,8302,2018,96.0
87,8303,2018,0.0
88,8304,2018,
89,8305,2018,126.0
90,8306,2018,20.0
91,8307,2018,157.0
92,8224,2018,31.0
93,8225,2018,0.0
94,8226,2018,
95,8227,2018,40.0
96,8228,2018,
97,8229,2018,
98,8230,2018,9.0
99,8231,2018,82.0
100,8255,2018,0.0
101,8256,2018,
102,8257,2018,0.0
103,8258,2018,
104,8259,2018,81.0
105,8260,2018,38.0
106,8261,2018,13.0
107,8262,2018,95.0
108,8263,2018,37.0
109,8264,2018,10.0
110,8105,2018,23.0
111,8246,2018,
112,8247,2018,
113,8248,2018,46.0
114,8249,2018,0.0
115,8250,2018,71.0
116,8251,2018,35.0
117,8252,2018,42.0
118,8253,2018,
119,8254,2018,
120,8135,2018,6.0
121,8136,2018,30.0
122,8028,2019,23.0
123,8274,2019,27.0
124,8275,2019,0.0
125,8276,2019,
126,8277,2019,
127,8278,2019,20.0
128,8279,2019,838.0
129,8280,2019,0.0
130,8281,2019,16.0
131,8282,2019,
132,8283,2019,43.0
133,8284,2019,254.0
134,8285,2019,82.0
135,8286,2019,76.0
136,8287,2019,15.0
137,8288,2019,68.0
138,8289,2019,14.0
139,8290,2019,32.0
140,8291,2019,95.0
141,8292,2019,12.0
142,8293,2019,0.0
143,8294,2019,56.0
144,8295,2019,60.0
145,8296,2019,16.0
146,8297,2019,
147,8298,2019,91.0
148,8299,2019,0.0
149,8300,2019,29.0
150,8301,2019,101.0
151,8302,2019,86.0
152,8303,2019,0.0
153,8304,2019,
154,8305,2019,134.0
155,8306,2019,31.0
156,8307,2019,197.0
157,8224,2019,31.0
158,8225,2019,0.0
159,8226,2019,
160,8227,2019,44.0
161,8228,2019,
162,8229,2019,
163,8230,2019,13.0
164,8231,2019,89.0
165,8255,2019,0.0
166,8256,2019,
167,8257,2019,0.0
168,8258,2019,
169,8259,2019,95.0
170,8260,2019,45.0
171,8261,2019,12.0
172,8262,2019,100.0
173,8263,2019,48.0
174,8264,2019,28.0
175,8105,2019,32.0
176,8246,2019,10.0
177,8247,2019,7.0
178,8248,2019,53.0
179,8249,2019,0.0
180,8250,2019,81.0
181,8251,2019,32.0
182,8252,2019,55.0
183,8253,2019,
184,8254,2019,9.0
185,8135,2019,6.0
186,8136,2019,39.0
187,8137,2019,0.0
188,8138,2019,154.0
189,8139,2019,0.0
190,8140,2019,48.0
191,8141,2019,42.0
192,8142,2019,0.0
193,8143,2019,33.0
194,8144,2019,7.0
195,8145,2019,17.0
196,8146,2019,20.0
197,8147,2019,57.0
198,8148,2019,102.0
199,8149,2019,12.0
200,8150,2019,0.0
201,8151,2019,0.0
202,8152,2019,
203,8153,2019,
204,8154,2019,
205,8038,2019,32.0
206,8060,2019,
207,8061,2019,43.0
208,8062,2019,15.0
209,8063,2019,10.0
210,8064,2019,25.0
211,8065,2019,11.0
212,8066,2019,11.0
213,8067,2019,23.0
214,8068,2019,30.0
215,8232,2019,37.0
216,8233,2019,15.0
217,8234,2019,52.0
218,8235,2019,16.0
219,8236,2019,28.0
220,8237,2019,19.0
221,8238,2019,28.0
222,8239,2019,6.0
223,8240,2019,48.0
224,8241,2019,
225,8242,2019,
226,8243,2019,0.0
227,8244,2019,
228,8245,2019,391.0
229,8104,2019,
230,8308,2019,0.0
231,8901,2019,
232,8902,2019,24.0
233,8903,2019,0.0
234,8904,2019,25.0
235,8905,2019,10.0
236,8001,2019,33.0
237,8002,2019,0.0
238,8003,2019,20.0
239,8004,2019,
240,8005,2019,82.0
241,8006,2019,96.0
242,8007,2019,33.0
