,MUN_INE,ANY_,Val
0,8003,2005,39.92205606192025
1,8004,2005,
2,8005,2005,
3,8006,2005,42.19235764405329
4,8007,2005,
5,8008,2005,
6,8009,2005,37.10321290540589
7,8010,2005,
8,8011,2005,
9,8012,2005,
10,8013,2005,
11,8015,2005,44.809452260522185
12,8904,2005,
13,8016,2005,
14,8017,2005,
15,8018,2005,
16,8252,2005,51.41282859594666
17,8019,2005,40.90119931113579
18,8020,2005,
19,8021,2005,
20,8022,2005,
21,8023,2005,
22,8024,2005,
23,8025,2005,
24,8026,2005,
25,8027,2005,
26,8028,2005,
27,8029,2005,
28,8030,2005,
29,8031,2005,
30,8034,2005,
31,8033,2005,35.42021566497786
32,8032,2005,
33,8035,2005,
34,8037,2005,
35,8038,2005,
36,8036,2005,
37,8039,2005,
38,8040,2005,
39,8041,2005,
40,8042,2005,
41,8043,2005,
42,8044,2005,
43,8045,2005,
44,8046,2005,35.18640399548705
45,8047,2005,
46,8048,2005,
47,8049,2005,
48,8057,2005,
49,8052,2005,
50,8050,2005,
51,8051,2005,32.17247363075507
52,8053,2005,
53,8054,2005,
54,8055,2005,
55,8056,2005,49.86526544019689
56,8058,2005,
57,8060,2005,
58,8059,2005,
59,8061,2005,
60,8062,2005,
61,8063,2005,
62,8064,2005,
63,8065,2005,
64,8066,2005,
65,8067,2005,
66,8268,2005,
67,8266,2005,41.76238499749928
68,8068,2005,
69,8069,2005,
70,8070,2005,
71,8071,2005,
72,8072,2005,
73,8073,2005,48.89245318773462
74,8074,2005,52.716227048287564
75,8075,2005,
76,8076,2005,
77,8077,2005,49.47086032415988
78,8078,2005,
79,8079,2005,
80,8134,2005,
81,8080,2005,
82,8082,2005,
83,8081,2005,
84,8083,2005,
85,8084,2005,
86,8085,2005,
87,8086,2005,
88,8090,2005,
89,8087,2005,
90,8088,2005,37.91237061698124
91,8089,2005,50.86313477929404
92,8091,2005,
93,8092,2005,
94,8093,2005,
95,8094,2005,
96,8095,2005,
97,8096,2005,39.66409952277832
98,8097,2005,
99,8099,2005,
100,8100,2005,
101,8101,2005,48.35214594168367
102,8162,2005,
103,8102,2005,28.237842440719533
104,8103,2005,
105,8104,2005,
106,8105,2005,
107,8107,2005,
108,8108,2005,
109,8106,2005,
110,8109,2005,
111,8110,2005,
112,8111,2005,
113,8112,2005,
114,8113,2005,26.0437436499436
115,8242,2005,
116,8114,2005,39.599298462117574
117,8115,2005,
118,8116,2005,
119,8117,2005,
120,8118,2005,40.21630805916317
121,8119,2005,
122,8120,2005,
123,8121,2005,46.24672470473801
124,8122,2005,
125,8138,2005,
126,8123,2005,35.57273002493845
127,8124,2005,47.9682462297289
128,8128,2005,
129,8127,2005,
130,8125,2005,48.663149595091284
131,8130,2005,
132,8131,2005,
133,8126,2005,45.45374494289546
134,8132,2005,
135,8133,2005,
136,8135,2005,
137,8136,2005,
138,8137,2005,
139,8129,2005,
140,8139,2005,
141,8140,2005,20.515510496007163
142,8141,2005,
143,8142,2005,
144,8143,2005,
145,8145,2005,
146,8146,2005,
147,8147,2005,
148,8148,2005,
149,8149,2005,
150,8144,2005,
151,8150,2005,
152,8151,2005,
153,8152,2005,
154,8153,2005,
155,8154,2005,
156,8155,2005,
157,8156,2005,38.89399994025515
158,8157,2005,
159,8905,2005,
160,8158,2005,
161,8159,2005,
162,8160,2005,
163,8161,2005,
164,8163,2005,41.132292486981946
165,8164,2005,
166,8165,2005,
167,8166,2005,
168,8167,2005,
169,8182,2005,
170,8168,2005,
171,8169,2005,42.61027368792449
172,8171,2005,
173,8170,2005,
174,8230,2005,
175,8172,2005,47.77251839657998
176,8174,2005,
177,8175,2005,
178,8176,2005,
179,8177,2005,
180,8178,2005,
181,8179,2005,
182,8180,2005,42.35672781524676
183,8181,2005,
184,8183,2005,
185,8184,2005,48.00539114363308
186,8185,2005,
187,8901,2005,
188,8187,2005,44.188031014460584
189,8188,2005,
190,8190,2005,
191,8191,2005,
192,8194,2005,45.22097451073594
193,8195,2005,
194,8196,2005,42.85266406439122
195,8197,2005,
196,8198,2005,
197,8199,2005,
198,8200,2005,52.63445332795676
199,8201,2005,
200,8203,2005,
201,8202,2005,38.23015647118192
202,8204,2005,
203,8205,2005,41.69039327328901
204,8206,2005,
205,8207,2005,
206,8208,2005,
207,8210,2005,24.86630166921936
208,8211,2005,43.969382620403
209,8212,2005,
210,8209,2005,
211,8213,2005,
212,8215,2005,
213,8193,2005,
214,8216,2005,
215,8218,2005,25.81704081905253
216,8217,2005,45.81828790901296
217,8903,2005,
218,8220,2005,
219,8221,2005,40.595432303323854
220,8222,2005,
221,8223,2005,
222,8225,2005,
223,8224,2005,
224,8226,2005,
225,8227,2005,
226,8228,2005,
227,8229,2005,
228,8231,2005,34.81600126434239
229,8232,2005,
230,8233,2005,
231,8234,2005,
232,8189,2005,
233,8235,2005,
234,8236,2005,
235,8237,2005,
236,8238,2005,39.21770350042302
237,8239,2005,
238,8240,2005,34.67820871218038
239,8241,2005,
240,8098,2005,
241,8262,2005,22.655022033650976
242,8264,2005,
243,8265,2005,
244,8263,2005,46.215693178803136
245,8243,2005,
246,8244,2005,
247,8245,2005,45.70123119125235
248,8246,2005,
249,8247,2005,
250,8248,2005,
251,8249,2005,
252,8250,2005,
253,8251,2005,
254,8253,2005,
255,8254,2005,
256,8256,2005,
257,8255,2005,
258,8257,2005,
259,8259,2005,
260,8258,2005,
261,8260,2005,
262,8261,2005,
263,8192,2005,
264,8267,2005,
265,8269,2005,
266,8270,2005,59.831071251351844
267,8271,2005,
268,8272,2005,
269,8273,2005,
270,8274,2005,
271,8276,2005,
272,8277,2005,
273,8278,2005,
274,8275,2005,
275,8280,2005,
276,8281,2005,
277,8279,2005,43.31335197685975
278,8282,2005,
279,8283,2005,
280,8284,2005,
281,8285,2005,
282,8286,2005,
283,8287,2005,
284,8288,2005,
285,8289,2005,
286,8290,2005,
287,8291,2005,
288,8292,2005,
289,8293,2005,
290,8294,2005,
291,8295,2005,
292,8296,2005,
293,8297,2005,
294,8298,2005,30.12993106822823
295,8299,2005,
296,8301,2005,50.14278928280631
297,8300,2005,
298,8305,2005,35.76239158419414
299,8306,2005,
300,8303,2005,
301,8302,2005,
302,8902,2005,
303,8307,2005,46.48490765078318
304,8214,2005,
305,8219,2005,41.31423454112552
306,8304,2005,
307,8308,2005,
308,8001,2006,
309,8002,2006,
310,8014,2006,
311,8003,2006,
312,8004,2006,
313,8005,2006,
314,8006,2006,31.223106392594786
315,8007,2006,
316,8008,2006,
317,8009,2006,35.26461520814716
318,8010,2006,
319,8011,2006,
320,8012,2006,
321,8013,2006,
322,8015,2006,46.61626727060403
323,8904,2006,
324,8016,2006,
325,8017,2006,
326,8018,2006,
327,8252,2006,49.91265636887138
328,8019,2006,42.227926201019905
329,8020,2006,
330,8021,2006,
331,8022,2006,21.7452654523478
332,8023,2006,
333,8024,2006,
334,8025,2006,
335,8026,2006,
336,8027,2006,
