,MUN_INE,ANY_,Val
0,8001,2019,
1,8002,2019,0.0
2,8003,2019,
3,8004,2019,0.0
4,8005,2019,
5,8006,2019,
6,8007,2019,
7,8008,2019,
8,8009,2019,
9,8010,2019,
10,8011,2019,0.0
11,8012,2019,
12,8013,2019,
13,8014,2019,0.0
14,8015,2019,381.0
15,8016,2019,0.0
16,8017,2019,
17,8018,2019,
18,8019,2019,5532.0
19,8020,2019,
20,8021,2019,0.0
21,8022,2019,
22,8023,2019,
23,8024,2019,0.0
24,8025,2019,
25,8026,2019,0.0
26,8027,2019,
27,8028,2019,0.0
28,8029,2019,
29,8030,2019,0.0
30,8031,2019,
31,8032,2019,0.0
32,8033,2019,
33,8034,2019,0.0
34,8035,2019,
35,8036,2019,0.0
36,8037,2019,
37,8038,2019,
38,8039,2019,0.0
39,8040,2019,
40,8041,2019,
41,8042,2019,0.0
42,8043,2019,
43,8044,2019,
44,8045,2019,0.0
45,8046,2019,
46,8047,2019,
47,8048,2019,0.0
48,8049,2019,0.0
49,8050,2019,0.0
50,8051,2019,
51,8052,2019,0.0
52,8053,2019,
53,8054,2019,
54,8055,2019,0.0
55,8056,2019,125.0
56,8057,2019,0.0
57,8058,2019,
58,8059,2019,0.0
59,8060,2019,0.0
60,8061,2019,0.0
61,8062,2019,0.0
62,8063,2019,0.0
63,8064,2019,
64,8065,2019,0.0
65,8066,2019,
66,8067,2019,
67,8068,2019,
68,8069,2019,0.0
69,8070,2019,0.0
70,8071,2019,0.0
71,8072,2019,
72,8073,2019,484.0
73,8074,2019,
74,8075,2019,
75,8076,2019,
76,8077,2019,90.0
77,8078,2019,0.0
78,8079,2019,0.0
79,8080,2019,0.0
80,8081,2019,0.0
81,8082,2019,0.0
82,8083,2019,0.0
83,8084,2019,0.0
84,8085,2019,
85,8086,2019,33.0
86,8087,2019,0.0
87,8088,2019,
88,8089,2019,233.0
89,8090,2019,0.0
90,8091,2019,
91,8092,2019,
92,8093,2019,0.0
93,8094,2019,
94,8095,2019,0.0
95,8096,2019,121.0
96,8097,2019,0.0
97,8098,2019,0.0
98,8099,2019,
99,8100,2019,
100,8101,2019,591.0
101,8102,2019,39.0
102,8103,2019,0.0
103,8104,2019,0.0
104,8105,2019,
105,8106,2019,
106,8107,2019,
107,8108,2019,
108,8109,2019,0.0
109,8110,2019,
110,8111,2019,0.0
111,8112,2019,
112,8113,2019,112.0
113,8114,2019,558.0
114,8115,2019,
115,8116,2019,0.0
116,8117,2019,0.0
117,8118,2019,55.0
118,8119,2019,
119,8120,2019,
120,8121,2019,268.0
121,8122,2019,
122,8123,2019,42.0
123,8124,2019,130.0
124,8125,2019,40.0
125,8126,2019,86.0
126,8127,2019,
127,8128,2019,
128,8129,2019,0.0
129,8130,2019,0.0
130,8131,2019,0.0
131,8132,2019,0.0
132,8133,2019,0.0
133,8134,2019,0.0
134,8135,2019,
135,8136,2019,
136,8137,2019,0.0
137,8138,2019,
138,8139,2019,0.0
139,8140,2019,0.0
140,8141,2019,
141,8142,2019,0.0
142,8143,2019,0.0
143,8144,2019,
144,8145,2019,
145,8146,2019,0.0
146,8147,2019,
147,8148,2019,
148,8149,2019,0.0
149,8150,2019,0.0
150,8151,2019,0.0
151,8152,2019,0.0
152,8153,2019,0.0
153,8154,2019,0.0
154,8155,2019,
155,8156,2019,
156,8157,2019,
157,8158,2019,0.0
158,8159,2019,
159,8160,2019,
160,8161,2019,
161,8162,2019,0.0
162,8163,2019,
163,8164,2019,
164,8165,2019,0.0
165,8166,2019,0.0
166,8167,2019,26.0
167,8168,2019,0.0
168,8169,2019,177.0
169,8170,2019,
170,8171,2019,0.0
171,8172,2019,
172,8174,2019,0.0
173,8175,2019,0.0
174,8176,2019,0.0
175,8177,2019,0.0
176,8178,2019,0.0
177,8179,2019,0.0
178,8180,2019,46.0
179,8181,2019,
180,8182,2019,
181,8183,2019,
182,8184,2019,30.0
183,8185,2019,0.0
184,8187,2019,652.0
185,8188,2019,0.0
186,8189,2019,0.0
187,8190,2019,0.0
188,8191,2019,
189,8192,2019,
190,8193,2019,0.0
191,8194,2019,112.0
192,8195,2019,0.0
193,8196,2019,56.0
194,8197,2019,
195,8198,2019,0.0
196,8199,2019,0.0
197,8200,2019,364.0
198,8201,2019,0.0
199,8202,2019,
200,8203,2019,
201,8204,2019,0.0
202,8205,2019,473.0
203,8206,2019,0.0
204,8207,2019,0.0
205,8208,2019,
206,8209,2019,
207,8210,2019,
208,8211,2019,307.0
209,8212,2019,0.0
210,8213,2019,
211,8214,2019,
212,8215,2019,
213,8216,2019,0.0
214,8217,2019,446.0
215,8218,2019,
216,8219,2019,31.0
217,8220,2019,
218,8221,2019,45.0
219,8222,2019,
220,8223,2019,
221,8224,2019,0.0
222,8225,2019,0.0
223,8226,2019,
224,8227,2019,
225,8228,2019,0.0
226,8229,2019,
227,8230,2019,
228,8231,2019,32.0
229,8232,2019,
230,8233,2019,
231,8234,2019,0.0
232,8235,2019,
233,8236,2019,
234,8237,2019,
235,8238,2019,50.0
236,8239,2019,0.0
237,8240,2019,
238,8241,2019,0.0
239,8242,2019,0.0
240,8243,2019,0.0
241,8244,2019,
242,8245,2019,123.0
243,8246,2019,
244,8247,2019,
245,8248,2019,
246,8249,2019,0.0
247,8250,2019,
248,8251,2019,
249,8252,2019,49.0
250,8253,2019,0.0
251,8254,2019,
252,8255,2019,0.0
253,8256,2019,0.0
254,8257,2019,0.0
255,8258,2019,0.0
256,8259,2019,
257,8260,2019,43.0
258,8261,2019,0.0
259,8262,2019,
260,8263,2019,28.0
261,8264,2019,
262,8265,2019,
263,8266,2019,79.0
264,8267,2019,
265,8268,2019,0.0
266,8269,2019,0.0
267,8270,2019,102.0
268,8271,2019,0.0
269,8272,2019,0.0
270,8273,2019,0.0
271,8274,2019,
272,8275,2019,0.0
273,8276,2019,0.0
274,8277,2019,0.0
275,8278,2019,
276,8279,2019,839.0
277,8280,2019,0.0
278,8281,2019,
279,8282,2019,
280,8283,2019,
281,8284,2019,33.0
282,8285,2019,
283,8286,2019,0.0
284,8287,2019,0.0
285,8288,2019,
286,8289,2019,
287,8290,2019,0.0
288,8291,2019,
289,8292,2019,0.0
290,8293,2019,0.0
291,8294,2019,0.0
292,8295,2019,
293,8296,2019,
294,8297,2019,0.0
295,8298,2019,114.0
296,8299,2019,0.0
297,8300,2019,
298,8301,2019,103.0
299,8302,2019,
300,8303,2019,0.0
301,8304,2019,0.0
302,8305,2019,71.0
303,8306,2019,0.0
304,8307,2019,102.0
305,8308,2019,0.0
306,8901,2019,0.0
307,8902,2019,0.0
308,8903,2019,0.0
309,8904,2019,
310,8905,2019,0.0
311,8,2019,58914.0
