,MUN_INE,Val,ANY_
0,8001,,2019
1,8002,0.0,2019
2,8003,,2019
3,8004,0.0,2019
4,8005,,2019
5,8006,,2019
6,8007,,2019
7,8008,,2019
8,8009,,2019
9,8010,,2019
10,8011,0.0,2019
11,8012,,2019
12,8013,,2019
13,8014,0.0,2019
14,8015,30.551626591199998,2019
15,8016,0.0,2019
16,8017,,2019
17,8018,,2019
18,8019,27.754192315900003,2019
19,8020,,2019
20,8021,0.0,2019
21,8022,,2019
22,8023,,2019
23,8024,0.0,2019
24,8025,,2019
25,8026,0.0,2019
26,8027,,2019
27,8028,0.0,2019
28,8029,,2019
29,8030,0.0,2019
30,8031,,2019
31,8032,0.0,2019
32,8033,,2019
33,8034,0.0,2019
34,8035,,2019
35,8036,0.0,2019
36,8037,,2019
37,8038,,2019
38,8039,0.0,2019
39,8040,,2019
40,8041,,2019
41,8042,0.0,2019
42,8043,,2019
43,8044,,2019
44,8045,0.0,2019
45,8046,,2019
46,8047,,2019
47,8048,0.0,2019
48,8049,0.0,2019
49,8050,0.0,2019
50,8051,,2019
51,8052,0.0,2019
52,8053,,2019
53,8054,,2019
54,8055,0.0,2019
55,8056,16.9312169312,2019
56,8057,0.0,2019
57,8058,,2019
58,8059,0.0,2019
59,8060,0.0,2019
60,8061,0.0,2019
61,8062,0.0,2019
62,8063,0.0,2019
63,8064,,2019
64,8065,0.0,2019
65,8066,,2019
66,8067,,2019
67,8068,,2019
68,8069,0.0,2019
69,8070,0.0,2019
70,8071,0.0,2019
71,8072,,2019
72,8073,48.614072494700004,2019
73,8074,,2019
74,8075,,2019
75,8076,,2019
76,8077,26.8292682927,2019
77,8078,0.0,2019
78,8079,0.0,2019
79,8080,0.0,2019
80,8081,0.0,2019
81,8082,0.0,2019
82,8083,0.0,2019
83,8084,0.0,2019
84,8085,,2019
85,8086,27.118644067800002,2019
86,8087,0.0,2019
87,8088,,2019
88,8089,35.6435643564,2019
89,8090,0.0,2019
90,8091,,2019
91,8092,,2019
92,8093,0.0,2019
93,8094,,2019
94,8095,0.0,2019
95,8096,20.8695652174,2019
96,8097,0.0,2019
97,8098,0.0,2019
98,8099,,2019
99,8100,,2019
100,8101,22.7106227106,2019
101,8102,17.0731707317,2019
102,8103,0.0,2019
103,8104,0.0,2019
104,8105,,2019
105,8106,,2019
106,8107,,2019
107,8108,,2019
108,8109,0.0,2019
109,8110,,2019
110,8111,0.0,2019
111,8112,,2019
112,8113,12.8404669261,2019
113,8114,32.237312366,2019
114,8115,,2019
115,8116,0.0,2019
116,8117,0.0,2019
117,8118,18.8118811881,2019
118,8119,,2019
119,8120,,2019
120,8121,16.700610998,2019
121,8122,,2019
122,8123,32.0512820513,2019
123,8124,28.640776699,2019
124,8125,26.506024096399997,2019
125,8126,44.0298507463,2019
126,8127,,2019
127,8128,,2019
128,8129,0.0,2019
129,8130,0.0,2019
130,8131,0.0,2019
131,8132,0.0,2019
132,8133,0.0,2019
133,8134,0.0,2019
134,8135,,2019
135,8136,,2019
136,8137,0.0,2019
137,8138,,2019
138,8139,0.0,2019
139,8140,0.0,2019
140,8141,,2019
141,8142,0.0,2019
142,8143,0.0,2019
143,8144,,2019
144,8145,,2019
145,8146,0.0,2019
146,8147,,2019
147,8148,,2019
148,8149,0.0,2019
149,8150,0.0,2019
150,8151,0.0,2019
151,8152,0.0,2019
152,8153,0.0,2019
153,8154,0.0,2019
154,8155,,2019
155,8156,,2019
156,8157,,2019
157,8158,0.0,2019
158,8159,,2019
159,8160,,2019
160,8161,,2019
161,8162,0.0,2019
162,8163,,2019
163,8164,,2019
164,8165,0.0,2019
165,8166,0.0,2019
166,8167,50.943396226400004,2019
167,8168,0.0,2019
168,8169,31.511254019299997,2019
169,8170,,2019
170,8171,0.0,2019
171,8172,,2019
172,8174,0.0,2019
173,8175,0.0,2019
174,8176,0.0,2019
175,8177,0.0,2019
176,8178,0.0,2019
177,8179,0.0,2019
178,8180,25.0,2019
179,8181,,2019
180,8182,,2019
181,8183,,2019
182,8184,30.3571428571,2019
183,8185,0.0,2019
184,8187,25.8714175058,2019
185,8188,0.0,2019
186,8189,0.0,2019
187,8190,0.0,2019
188,8191,,2019
189,8192,,2019
190,8193,0.0,2019
191,8194,25.896414342600004,2019
192,8195,0.0,2019
193,8196,31.5789473684,2019
194,8197,,2019
195,8198,0.0,2019
196,8199,0.0,2019
197,8200,28.785607196399997,2019
198,8201,0.0,2019
199,8202,,2019
200,8203,,2019
201,8204,0.0,2019
202,8205,24.1258741259,2019
203,8206,0.0,2019
204,8207,0.0,2019
205,8208,,2019
206,8209,,2019
207,8210,,2019
208,8211,30.5454545455,2019
209,8212,0.0,2019
210,8213,,2019
211,8214,,2019
212,8215,,2019
213,8216,0.0,2019
214,8217,54.18227215979999,2019
215,8218,,2019
216,8219,11.1111111111,2019
217,8220,,2019
218,8221,42.6829268293,2019
219,8222,,2019
220,8223,,2019
221,8224,0.0,2019
222,8225,0.0,2019
223,8226,,2019
224,8227,,2019
225,8228,0.0,2019
226,8229,,2019
227,8230,,2019
228,8231,23.809523809499996,2019
229,8232,,2019
230,8233,,2019
231,8234,0.0,2019
232,8235,,2019
233,8236,,2019
234,8237,,2019
235,8238,32.5581395349,2019
236,8239,0.0,2019
237,8240,,2019
238,8241,0.0,2019
239,8242,0.0,2019
240,8243,0.0,2019
241,8244,,2019
242,8245,26.267281106,2019
243,8246,,2019
244,8247,,2019
245,8248,,2019
246,8249,0.0,2019
247,8250,,2019
248,8251,,2019
249,8252,18.1818181818,2019
250,8253,0.0,2019
251,8254,,2019
252,8255,0.0,2019
253,8256,0.0,2019
254,8257,0.0,2019
255,8258,0.0,2019
256,8259,,2019
257,8260,28.235294117600002,2019
258,8261,0.0,2019
259,8262,,2019
260,8263,37.735849056599996,2019
261,8264,,2019
262,8265,,2019
263,8266,18.9024390244,2019
264,8267,,2019
