,MUN_INE,ANY_,Val
0,8001,2005,677.0
1,8001,2006,721.0
2,8001,2007,925.0
3,8001,2008,1068.0
4,8001,2009,1152.0
5,8001,2010,1019.0
6,8001,2011,969.0
7,8001,2012,971.0
8,8001,2013,942.0
9,8001,2014,879.0
10,8001,2015,757.0
11,8001,2016,807.0
12,8001,2017,805.0
13,8001,2018,815.0
14,8001,2019,855.0
15,8002,2005,4.0
16,8002,2006,8.0
17,8002,2007,11.0
18,8002,2008,13.0
19,8002,2009,12.0
20,8002,2010,8.0
21,8002,2011,6.0
22,8002,2012,7.0
23,8002,2013,5.0
24,8002,2014,9.0
25,8002,2015,9.0
26,8002,2016,9.0
27,8002,2017,9.0
28,8002,2018,7.0
29,8002,2019,7.0
30,8003,2005,692.0
31,8003,2006,762.0
32,8003,2007,764.0
33,8003,2008,834.0
34,8003,2009,874.0
35,8003,2010,918.0
36,8003,2011,841.0
37,8003,2012,813.0
38,8003,2013,854.0
39,8003,2014,833.0
40,8003,2015,824.0
41,8003,2016,817.0
42,8003,2017,841.0
43,8003,2018,909.0
44,8003,2019,1001.0
45,8004,2005,17.0
46,8004,2006,20.0
47,8004,2007,19.0
48,8004,2008,20.0
49,8004,2009,23.0
50,8004,2010,22.0
51,8004,2011,22.0
52,8004,2012,20.0
53,8004,2013,22.0
54,8004,2014,24.0
55,8004,2015,21.0
56,8004,2016,20.0
57,8004,2017,19.0
58,8004,2018,19.0
59,8004,2019,16.0
60,8005,2005,595.0
61,8005,2006,617.0
62,8005,2007,542.0
63,8005,2008,562.0
64,8005,2009,589.0
65,8005,2010,582.0
66,8005,2011,478.0
67,8005,2012,460.0
68,8005,2013,444.0
69,8005,2014,403.0
70,8005,2015,398.0
71,8005,2016,402.0
72,8005,2017,410.0
73,8005,2018,441.0
74,8005,2019,467.0
75,8006,2005,1308.0
76,8006,2006,1437.0
77,8006,2007,1450.0
78,8006,2008,1585.0
79,8006,2009,1719.0
80,8006,2010,1701.0
81,8006,2011,1726.0
82,8006,2012,1777.0
83,8006,2013,1787.0
84,8006,2014,1648.0
85,8006,2015,1543.0
86,8006,2016,1451.0
87,8006,2017,1419.0
88,8006,2018,1480.0
89,8006,2019,1626.0
90,8007,2005,433.0
91,8007,2006,490.0
92,8007,2007,453.0
93,8007,2008,457.0
94,8007,2009,506.0
95,8007,2010,532.0
96,8007,2011,547.0
97,8007,2012,537.0
98,8007,2013,530.0
99,8007,2014,484.0
100,8007,2015,489.0
101,8007,2016,452.0
102,8007,2017,443.0
103,8007,2018,496.0
104,8007,2019,534.0
105,8008,2005,5.0
106,8008,2006,8.0
107,8008,2007,28.0
108,8008,2008,31.0
109,8008,2009,29.0
110,8008,2010,33.0
111,8008,2011,32.0
112,8008,2012,34.0
113,8008,2013,11.0
114,8008,2014,11.0
115,8008,2015,16.0
116,8008,2016,19.0
117,8008,2017,10.0
118,8008,2018,11.0
119,8008,2019,13.0
120,8009,2005,388.0
121,8009,2006,432.0
122,8009,2007,464.0
123,8009,2008,521.0
124,8009,2009,525.0
125,8009,2010,504.0
126,8009,2011,520.0
127,8009,2012,546.0
128,8009,2013,557.0
129,8009,2014,548.0
130,8009,2015,510.0
131,8009,2016,521.0
132,8009,2017,536.0
133,8009,2018,591.0
134,8009,2019,633.0
135,8010,2005,265.0
136,8010,2006,316.0
137,8010,2007,360.0
138,8010,2008,460.0
139,8010,2009,508.0
140,8010,2010,529.0
141,8010,2011,535.0
142,8010,2012,543.0
143,8010,2013,539.0
144,8010,2014,532.0
145,8010,2015,524.0
146,8010,2016,471.0
147,8010,2017,472.0
148,8010,2018,494.0
149,8010,2019,537.0
150,8011,2005,82.0
151,8011,2006,82.0
152,8011,2007,86.0
153,8011,2008,100.0
154,8011,2009,104.0
155,8011,2010,109.0
156,8011,2011,105.0
157,8011,2012,105.0
158,8011,2013,109.0
159,8011,2014,90.0
160,8011,2015,88.0
161,8011,2016,95.0
162,8011,2017,95.0
163,8011,2018,93.0
164,8011,2019,89.0
165,8012,2005,106.0
166,8012,2006,125.0
167,8012,2007,164.0
168,8012,2008,187.0
169,8012,2009,214.0
170,8012,2010,253.0
171,8012,2011,268.0
172,8012,2012,252.0
173,8012,2013,242.0
174,8012,2014,218.0
175,8012,2015,192.0
176,8012,2016,173.0
177,8012,2017,194.0
178,8012,2018,191.0
179,8012,2019,204.0
180,8013,2005,152.0
181,8013,2006,151.0
182,8013,2007,160.0
183,8013,2008,191.0
184,8013,2009,196.0
185,8013,2010,177.0
186,8013,2011,178.0
187,8013,2012,175.0
188,8013,2013,176.0
189,8013,2014,162.0
190,8013,2015,134.0
191,8013,2016,162.0
192,8013,2017,154.0
193,8013,2018,161.0
194,8013,2019,169.0
195,8014,2005,98.0
196,8014,2006,112.0
197,8014,2007,123.0
198,8014,2008,135.0
199,8014,2009,157.0
200,8014,2010,169.0
201,8014,2011,154.0
202,8014,2012,150.0
203,8014,2013,159.0
204,8014,2014,136.0
205,8014,2015,111.0
206,8014,2016,108.0
207,8014,2017,108.0
208,8014,2018,120.0
209,8014,2019,122.0
210,8015,2005,23625.0
211,8015,2006,29345.0
212,8015,2007,26607.0
213,8015,2008,28373.0
214,8015,2009,33085.0
215,8015,2010,32203.0
216,8015,2011,32620.0
217,8015,2012,33253.0
218,8015,2013,32023.0
219,8015,2014,29437.0
220,8015,2015,26375.0
221,8015,2016,26193.0
222,8015,2017,26107.0
223,8015,2018,27758.0
224,8015,2019,30452.0
225,8016,2005,48.0
226,8016,2006,64.0
227,8016,2007,100.0
228,8016,2008,99.0
229,8016,2009,99.0
230,8016,2010,111.0
231,8016,2011,109.0
232,8016,2012,101.0
233,8016,2013,94.0
234,8016,2014,84.0
235,8016,2015,73.0
236,8016,2016,62.0
237,8016,2017,58.0
238,8016,2018,58.0
239,8016,2019,63.0
240,8017,2005,263.0
241,8017,2006,295.0
242,8017,2007,297.0
243,8017,2008,330.0
244,8017,2009,353.0
245,8017,2010,331.0
246,8017,2011,342.0
247,8017,2012,330.0
248,8017,2013,338.0
249,8017,2014,298.0
250,8017,2015,265.0
251,8017,2016,286.0
252,8017,2017,308.0
253,8017,2018,336.0
254,8017,2019,366.0
255,8018,2005,89.0
256,8018,2006,120.0
257,8018,2007,187.0
258,8018,2008,308.0
259,8018,2009,343.0
260,8018,2010,309.0
261,8018,2011,337.0
262,8018,2012,348.0
263,8018,2013,344.0
264,8018,2014,214.0
265,8018,2015,211.0
266,8018,2016,191.0
267,8018,2017,196.0
268,8018,2018,181.0
269,8018,2019,165.0
270,8019,2005,219941.0
271,8019,2006,244988.0
272,8019,2007,245999.0
273,8019,2008,273175.0
274,8019,2009,284385.0
275,8019,2010,282794.0
276,8019,2011,278269.0
277,8019,2012,283445.0
278,8019,2013,281225.0
279,8019,2014,273121.0
280,8019,2015,262459.0
281,8019,2016,266323.0
282,8019,2017,284907.0
283,8019,2018,293787.0
284,8019,2019,320382.0
285,8020,2005,257.0
286,8020,2006,300.0
287,8020,2007,366.0
288,8020,2008,435.0
289,8020,2009,517.0
290,8020,2010,499.0
291,8020,2011,466.0
292,8020,2012,419.0
293,8020,2013,383.0
294,8020,2014,354.0
295,8020,2015,333.0
296,8020,2016,358.0
297,8020,2017,377.0
298,8020,2018,411.0
