,MUN_INE,ANY_,Val
0,8208,2011,175.0
1,8209,2011,100.0
2,8210,2011,250.0
3,8211,2011,1420.0
4,8212,2011,
5,8213,2011,185.0
6,8214,2011,295.0
7,8215,2011,130.0
8,8216,2011,
9,8217,2011,735.0
10,8218,2011,240.0
11,8219,2011,675.0
12,8220,2011,55.0
13,8221,2011,380.0
14,8222,2011,100.0
15,8223,2011,95.0
16,8029,2011,130.0
17,8030,2011,95.0
18,8031,2011,180.0
19,8032,2011,95.0
20,8033,2011,465.0
21,8034,2011,15.0
22,8035,2011,705.0
23,8036,2011,
24,8037,2011,70.0
25,8106,2011,260.0
26,8107,2011,120.0
27,8108,2011,140.0
28,8109,2011,
29,8110,2011,615.0
30,8111,2011,
31,8112,2011,740.0
32,8113,2011,2915.0
33,8114,2011,620.0
34,8115,2011,180.0
35,8116,2011,
36,8117,2011,85.0
37,8118,2011,685.0
38,8119,2011,260.0
39,8120,2011,145.0
40,8121,2011,4450.0
41,8122,2011,45.0
42,8123,2011,660.0
43,8124,2011,1310.0
44,8125,2011,975.0
45,8126,2011,180.0
46,8127,2011,145.0
47,8128,2011,
48,8129,2011,
49,8130,2011,
50,8131,2011,
51,8132,2011,
52,8133,2011,
53,8134,2011,
54,8181,2011,155.0
55,8026,2011,
56,8027,2011,5.0
57,8028,2011,10.0
58,8274,2011,320.0
59,8275,2011,
60,8276,2011,
61,8277,2011,
62,8278,2011,215.0
63,8279,2011,7720.0
64,8280,2011,
65,8281,2011,125.0
66,8282,2011,175.0
67,8283,2011,310.0
68,8284,2011,445.0
69,8285,2011,620.0
70,8286,2011,90.0
71,8287,2011,45.0
72,8288,2011,110.0
73,8289,2011,60.0
74,8290,2011,35.0
75,8291,2011,110.0
76,8292,2011,60.0
77,8293,2011,
78,8294,2011,70.0
79,8295,2011,140.0
80,8296,2011,45.0
81,8297,2011,
82,8298,2011,1520.0
83,8299,2011,
84,8300,2011,70.0
85,8301,2011,1570.0
86,8302,2011,220.0
87,8303,2011,
88,8304,2011,15.0
89,8305,2011,1360.0
90,8306,2011,
91,8307,2011,2700.0
92,8224,2011,20.0
93,8225,2011,
94,8226,2011,60.0
95,8227,2011,90.0
96,8228,2011,
97,8229,2011,
98,8230,2011,220.0
99,8231,2011,690.0
100,8255,2011,
101,8256,2011,
102,8257,2011,
103,8258,2011,35.0
104,8259,2011,210.0
105,8260,2011,565.0
106,8261,2011,80.0
107,8262,2011,340.0
108,8263,2011,585.0
109,8264,2011,105.0
110,8105,2011,390.0
111,8246,2011,60.0
112,8247,2011,20.0
113,8248,2011,185.0
114,8249,2011,
115,8250,2011,290.0
116,8251,2011,175.0
117,8252,2011,730.0
118,8253,2011,
119,8254,2011,100.0
120,8135,2011,260.0
121,8136,2011,285.0
122,8137,2011,
123,8138,2011,150.0
124,8139,2011,
125,8140,2011,210.0
126,8141,2011,230.0
127,8142,2011,
128,8143,2011,105.0
129,8144,2011,55.0
130,8145,2011,75.0
131,8146,2011,35.0
132,8147,2011,610.0
133,8148,2011,
134,8149,2011,55.0
135,8150,2011,
136,8151,2011,
137,8152,2011,
138,8153,2011,
139,8154,2011,
140,8038,2011,70.0
141,8060,2011,
142,8061,2011,40.0
143,8062,2011,15.0
144,8063,2011,
145,8064,2011,70.0
146,8065,2011,60.0
147,8066,2011,15.0
148,8067,2011,285.0
149,8068,2011,245.0
150,8232,2011,110.0
151,8233,2011,90.0
152,8234,2011,60.0
153,8235,2011,130.0
154,8236,2011,105.0
155,8237,2011,145.0
156,8238,2011,320.0
157,8239,2011,
158,8240,2011,335.0
159,8241,2011,
160,8242,2011,
161,8243,2011,
162,8244,2011,135.0
163,8245,2011,4320.0
164,8104,2011,25.0
165,8308,2011,
166,8901,2011,
167,8902,2011,75.0
168,8903,2011,
169,8904,2011,520.0
170,8905,2011,70.0
171,8001,2011,300.0
172,8002,2011,
173,8003,2011,220.0
174,8004,2011,
175,8005,2011,130.0
176,8006,2011,595.0
177,8007,2011,305.0
178,8008,2011,
179,8009,2011,220.0
180,8010,2011,190.0
181,8011,2011,70.0
182,8012,2011,110.0
183,8013,2011,60.0
184,8014,2011,65.0
185,8015,2011,7235.0
186,8016,2011,125.0
187,8017,2011,125.0
188,8018,2011,145.0
189,8019,2011,88120.0
190,8020,2011,130.0
191,8021,2011,
192,8022,2011,735.0
193,8023,2011,175.0
194,8024,2011,
195,8025,2011,20.0
196,8265,2011,115.0
197,8266,2011,1585.0
198,8267,2011,175.0
199,8268,2011,135.0
200,8269,2011,65.0
201,8270,2011,1200.0
202,8271,2011,
203,8272,2011,
204,8273,2011,70.0
205,8039,2011,
206,8040,2011,505.0
207,8041,2011,315.0
208,8042,2011,40.0
209,8043,2011,85.0
210,8044,2011,230.0
211,8045,2011,
212,8046,2011,505.0
213,8047,2011,240.0
214,8048,2011,20.0
215,8049,2011,70.0
216,8050,2011,
217,8051,2011,380.0
218,8052,2011,
219,8053,2011,100.0
220,8054,2011,215.0
221,8055,2011,
222,8056,2011,1545.0
223,8057,2011,
224,8058,2011,100.0
225,8059,2011,
226,8182,2011,45.0
227,8183,2011,245.0
228,8184,2011,2010.0
229,8185,2011,
230,8187,2011,8580.0
231,8188,2011,
232,8189,2011,
233,8190,2011,
234,8191,2011,315.0
235,8192,2011,100.0
236,8193,2011,
237,8194,2011,1145.0
238,8195,2011,
239,8196,2011,345.0
240,8197,2011,280.0
241,8198,2011,100.0
242,8199,2011,20.0
