,MUN_INE,Val,ANY_
0,8,74231.0,2019
1,8001,542.0,2019
2,8002,0.0,2019
3,8003,101.0,2019
4,8004,0.0,2019
5,8005,104.0,2019
6,8006,68.0,2019
7,8007,5.0,2019
8,8008,0.0,2019
9,8009,86.0,2019
10,8010,117.0,2019
11,8011,0.0,2019
12,8012,24.0,2019
13,8013,0.0,2019
14,8014,1.0,2019
15,8015,1996.0,2019
16,8016,27.0,2019
17,8017,1.0,2019
18,8018,121.0,2019
19,8019,15875.0,2019
20,8020,86.0,2019
21,8021,0.0,2019
22,8022,112.0,2019
23,8023,21.0,2019
24,8024,0.0,2019
25,8025,0.0,2019
26,8026,0.0,2019
27,8027,1.0,2019
28,8028,1.0,2019
29,8029,44.0,2019
30,8030,26.0,2019
31,8031,107.0,2019
32,8032,1.0,2019
33,8033,32.0,2019
34,8034,0.0,2019
35,8035,177.0,2019
36,8036,0.0,2019
37,8037,23.0,2019
38,8038,131.0,2019
39,8039,1.0,2019
40,8040,392.0,2019
41,8041,194.0,2019
42,8042,29.0,2019
43,8043,1.0,2019
44,8044,29.0,2019
45,8045,0.0,2019
46,8046,159.0,2019
47,8047,76.0,2019
48,8048,0.0,2019
49,8049,0.0,2019
50,8050,0.0,2019
51,8051,318.0,2019
52,8052,0.0,2019
53,8053,22.0,2019
54,8054,3.0,2019
55,8055,0.0,2019
56,8056,525.0,2019
57,8057,0.0,2019
58,8058,10.0,2019
59,8059,0.0,2019
60,8060,0.0,2019
61,8061,1.0,2019
62,8062,0.0,2019
63,8063,0.0,2019
64,8064,7.0,2019
65,8065,1.0,2019
66,8066,1.0,2019
67,8067,41.0,2019
68,8068,66.0,2019
69,8069,2.0,2019
70,8070,0.0,2019
71,8071,0.0,2019
72,8072,49.0,2019
73,8073,917.0,2019
74,8074,2.0,2019
75,8075,11.0,2019
76,8076,18.0,2019
77,8077,264.0,2019
78,8078,0.0,2019
79,8079,0.0,2019
80,8080,0.0,2019
81,8081,0.0,2019
82,8082,1.0,2019
83,8083,0.0,2019
84,8084,0.0,2019
85,8085,2.0,2019
86,8086,349.0,2019
87,8087,0.0,2019
88,8088,4.0,2019
89,8089,1541.0,2019
90,8090,0.0,2019
91,8091,72.0,2019
92,8092,43.0,2019
93,8093,0.0,2019
94,8094,101.0,2019
