,MUN_INE,ANY_,Val
0,8208,2012,7.0
1,8209,2012,4.0
2,8210,2012,20.0
3,8211,2012,43.0
4,8212,2012,
5,8213,2012,18.0
6,8214,2012,24.0
7,8215,2012,6.0
8,8216,2012,
9,8217,2012,78.0
10,8218,2012,30.0
11,8219,2012,66.0
12,8220,2012,3.0
13,8221,2012,56.0
14,8222,2012,
15,8223,2012,3.0
16,8029,2012,5.0
17,8030,2012,30.0
18,8031,2012,4.0
19,8032,2012,16.0
20,8033,2012,26.0
21,8034,2012,
22,8035,2012,84.0
23,8036,2012,
24,8037,2012,5.0
25,8106,2012,22.0
26,8107,2012,2.0
27,8108,2012,4.0
28,8109,2012,
29,8110,2012,64.0
30,8111,2012,1.0
31,8112,2012,148.0
32,8113,2012,521.0
33,8114,2012,82.0
34,8115,2012,7.0
35,8116,2012,
36,8117,2012,2.0
37,8118,2012,90.0
38,8119,2012,3.0
39,8120,2012,4.0
40,8121,2012,633.0
41,8122,2012,1.0
42,8123,2012,51.0
43,8124,2012,149.0
44,8125,2012,79.0
45,8126,2012,19.0
46,8127,2012,2.0
47,8128,2012,2.0
48,8129,2012,
49,8130,2012,
50,8131,2012,
51,8132,2012,
52,8133,2012,
53,8134,2012,2.0
54,8181,2012,14.0
55,8026,2012,
56,8027,2012,
57,8028,2012,
58,8274,2012,5.0
59,8275,2012,
60,8276,2012,
61,8277,2012,
62,8278,2012,17.0
63,8279,2012,478.0
64,8280,2012,1.0
65,8281,2012,7.0
66,8282,2012,8.0
67,8283,2012,22.0
68,8284,2012,41.0
69,8285,2012,59.0
70,8286,2012,1.0
71,8287,2012,
72,8288,2012,6.0
73,8289,2012,9.0
74,8290,2012,2.0
75,8291,2012,
76,8292,2012,
77,8293,2012,
78,8294,2012,
79,8295,2012,30.0
80,8296,2012,1.0
81,8297,2012,
82,8298,2012,239.0
83,8299,2012,2.0
84,8300,2012,1.0
85,8301,2012,161.0
86,8302,2012,22.0
87,8303,2012,
88,8304,2012,
89,8305,2012,192.0
90,8306,2012,2.0
91,8307,2012,206.0
92,8224,2012,1.0
93,8225,2012,1.0
94,8226,2012,
95,8227,2012,7.0
96,8228,2012,
97,8229,2012,1.0
98,8230,2012,21.0
99,8231,2012,80.0
100,8255,2012,
101,8256,2012,1.0
102,8257,2012,
103,8258,2012,
104,8259,2012,20.0
105,8260,2012,33.0
106,8261,2012,7.0
107,8262,2012,53.0
108,8263,2012,39.0
109,8264,2012,10.0
110,8105,2012,40.0
111,8246,2012,1.0
112,8247,2012,
113,8248,2012,5.0
114,8249,2012,1.0
115,8250,2012,9.0
116,8251,2012,12.0
117,8252,2012,57.0
118,8253,2012,
119,8254,2012,2.0
120,8135,2012,27.0
121,8136,2012,43.0
122,8208,2013,7.0
123,8137,2012,1.0
124,8138,2012,24.0
125,8139,2012,
126,8140,2012,20.0
127,8141,2012,21.0
128,8142,2012,
129,8143,2012,1.0
130,8144,2012,1.0
131,8145,2012,1.0
132,8146,2012,1.0
133,8147,2012,76.0
134,8148,2012,1.0
135,8149,2012,2.0
136,8150,2012,
137,8151,2012,
138,8152,2012,
139,8153,2012,1.0
140,8154,2012,1.0
141,8038,2012,3.0
142,8060,2012,
143,8061,2012,2.0
144,8062,2012,
145,8063,2012,
146,8064,2012,4.0
147,8065,2012,2.0
148,8066,2012,4.0
149,8067,2012,20.0
150,8068,2012,10.0
151,8232,2012,3.0
152,8233,2012,1.0
153,8234,2012,1.0
154,8235,2012,19.0
155,8236,2012,7.0
156,8237,2012,
157,8238,2012,15.0
158,8239,2012,2.0
159,8240,2012,24.0
160,8241,2012,
161,8242,2012,
162,8243,2012,
163,8244,2012,
164,8245,2012,302.0
165,8104,2012,
166,8308,2012,
167,8901,2012,
168,8902,2012,
169,8903,2012,1.0
170,8904,2012,
171,8905,2012,2.0
172,8001,2012,15.0
173,8002,2012,
174,8003,2012,16.0
175,8004,2012,
176,8005,2012,
177,8006,2012,84.0
178,8007,2012,34.0
179,8008,2012,
180,8009,2012,29.0
181,8010,2012,12.0
182,8011,2012,5.0
183,8012,2012,1.0
184,8013,2012,3.0
185,8014,2012,5.0
186,8015,2012,295.0
187,8016,2012,5.0
188,8017,2012,5.0
189,8018,2012,3.0
190,8019,2012,3670.0
191,8020,2012,4.0
192,8021,2012,
193,8022,2012,22.0
194,8023,2012,5.0
195,8024,2012,
196,8025,2012,2.0
197,8265,2012,2.0
198,8266,2012,76.0
199,8267,2012,6.0
200,8268,2012,2.0
201,8269,2012,4.0
202,8270,2012,59.0
203,8271,2012,
204,8272,2012,
205,8273,2012,2.0
206,8039,2012,2.0
207,8040,2012,32.0
208,8041,2012,25.0
209,8042,2012,
210,8043,2012,
211,8044,2012,5.0
212,8045,2012,
213,8046,2012,21.0
214,8047,2012,2.0
215,8048,2012,2.0
216,8049,2012,2.0
217,8050,2012,
218,8051,2012,68.0
219,8052,2012,
220,8053,2012,
221,8054,2012,16.0
222,8055,2012,2.0
223,8056,2012,197.0
224,8057,2012,
225,8058,2012,1.0
226,8059,2012,
227,8182,2012,1.0
228,8183,2012,19.0
229,8184,2012,178.0
230,8185,2012,
231,8187,2012,351.0
232,8188,2012,
233,8189,2012,
234,8190,2012,
