word;freq
money;852
buying;760
house;758
stuff;753
buy;743
generation;724
person;720
sucks;719
good;645
brexit;577
Theresa;527
pound;511
rigged;477
poor;422
may;404
failing;382
jobs;374
trump;349
deal;347
voter;339
business;315
election;266
rich;262
new;260
coalition;257
raise;257
jpmorgan;255
leftwing;254
interest ;253
rates;247
back;245
morgan;242
fed;241
general;241
bad;239
inflation;237
losing;236
likely;236
worse;234
private;232
lack;226
despite;226
weak;224
strong;221
blames;217
landlords;217
people;215
work;208
government;199
world;197
agree;193
american;191
dont;190
global;185
online;184
better;181
just;179
markets;172
taxes;172
tories;166
now;165
wage;164
debt;161
thats;160
news;160
like;157
think;156
workers;155
nothing;155
right;149
sales;148
stop;147
million;146
labour;144
years;144
wont;142
lead;142
healthcare;140
creating;139
focus;139
one;139
nhs;138
loans;136
britain;135
future;135
food;133
get;131
instant;129
video;128
blacklivesmatter;128
chaos;126
campaign;126
russian;124
want;123
great;122
ceo;122
promises;121
conspiracy;120
ohio;119
theories;119
wthis;119
growth;119
market;118
going;116
tax;115
growing;115
leaked;112
british;112
tory;111
roaring;110
sticks;110
low;109
economic;108
conquer;107
way;106
liberate;104
affecting;103
destroying;103
logic;101
hard;98
know;98
help;98
sharing;97
gig;97
green;97
still;96
trade;96
howard;95
schultz;95
course;94
class;94
well;92
first;91
investment;90
free;89
times;87
americans;87
since;87
see;86
mays;85
away;85
facts;84
govt;84
man;83
put;83
opinion;82
live;82
coming;82
largest;82
policy;81
benefits;81
banks;80
housing;79
white;79
must;78
pay;77
state;76
working;75
country;74
fantasies;74
intrude;74
lalaland;74
wants;73
basic;73
cage;73
high;73
many;72
tells;72
budget;72
political;72
pensions;71
best;71
india;71
blair;70
bb‚Ä;70
minimum;69
htt‚Ä;69
keep;69
former;68
environment;68
learn;68
tony;68
ultrafree;68
warns;68
expected;67
republicans;67
grow;67
kn‚Ä;67
national;67
two;67
isnt;66
needs;66
germany;66
newsnight;66
breathe;65
happy;65
next;64
data;64
independent;64
last;63
post;63
bank;63
agreement;63
cant;63
save;62
jin;62
mixtape;62
also;62
job;61
small;61
health;61
foreign;61
add;60
industry;60
trust;60
digital;59
votelabour;59
paris;59
startups;59
ht‚Ä;58
behind;58
rate;58
take;58
social;58
spending;58
via;57
kids;57
financial;57
relationship;56
part;56
please;56
military;56
protect;56
read;56
year;55
china;55
doesnt;55
fix;55
benefit;54
lunch;54
much;54
destroyed;54
wales;54
power;53
care;53
paid;53
trying;52
afford;52
education;52
wiping;52
change;52
manifesto;52
really;51
vote;51
local;51
billion;51
oil;51
bbcwalesdebate;51
number;51
donald;50
whats;50
climate;50
build;50
austerity;49
recovery;49
tech;49
h‚Ä;48
apc;48
address;48
economys;47
e‚Ä;47
shoppers;47
fail;47
hes;46
corbyn;46
living;46
public;46
society;46
poll;46
children;46
let;46
say;46
based;46
gone;46
starbucks;45
japan;45
use;45
yes;45
countrys;45
ruined;45
real;45
less;45
value;44
grows;44
thanks;44
entire;44
medicaid;44
requirements;44
stamps;44
greater;44
century;44
trillion;44
finance;44
saying;43
condition;43
receiving;43
i‚Ä;43
talk;43
bcpoli;43
means;43
recession;42
cost;42
seen;42
plan;42
uses;42
created;41
far;41
biggest;41
yet;41
day;41
immigrants;41
walk;41
grey;41
affordable;40
healthy;40
the‚Ä;40
look;40
come;40
energy;40
democracy;40
crash;40
find;40
space;40
don‚Äôt;40
wages;40
open;40
federal;40
important;40
bet;40
gdp;39
nyt;39
indian;39
pls;39
seattle;39
north;39
left;39
dating;39
adeyeye;39
nigeria‚Äôs;39
pdp;39
boost;39
exstarbucks;39
using;39
higher;38
personal;38
give;38
russia;38
area;38
fucked;38
fuel;38
iowa;38
immigration;38
bankers;38
politics;38
rights;38
a‚Ä;38
building;38
income;38
system;37
policies;37
campaigns;37
fundraising;37
impact;37
iran;37
gordon;37
ramsay;37
run;37
stable;37
possible;37
support;37
today;37
