word;freq
venezuela;2864
bonds;1911
regime;1486
maduro;1369
buy;1326
tear;1255
supply;1202
dear;1201
billion;1194
dictatorship;1133
lifeline;1060
venezuelan;1006
protest;822
calls;710
york;692
shame;574
blood;568
people;494
money;480
business;437
today;394
financing;390
know;385
human;384
rights;360
learn;352
deal;328
oil;298
world;282
venezuelas;266
buying;251
finance;239
dictator;237
support;236
supporting;231
bought;228
venezuelans;228
helping;224
pdvsa;216
self;214
government;205
bloody;200
full;196
let;193
assembly;189
shale;188
ceo;184
genocide;183
financist;179
bank;166
space;161
repression;154
hunger;154
research;153
bond;148
investment;145
great;144
explain;143
funding;141
trump;140
one;139
like;139
unconscionable;135
really;132
goldmanfinancesthedictatorship;130
next;129
pay;128
sosvenezuela;127
blankfein;125
quickly;124
hell;123
kill;121
socalled;118
podcast;118
lloyd;118
decision;117
drug;116
obama;115
transaction;115
clients;115
stakeholders;113
finances;110
need;109
bloodbonds;107
sacrifice;107
defending;105
parties;105
surrounded;105
surrounds;105
brutal;105
violations;103
company;103
ones;102
national;100
weapons;99
wont;98
capitalist;97
leftists;96
productivity;95
chide;95
dystopia;95
praise;95
help;95
corruption;94
making;94
made;93
altar;93
illegal;92
brent;92
killing;91
rising;90
investors;90
murderous;90
please;88
congress;86
supports;85
watch;84
tomorrow;83
killed;83
future;82
opposition;82
country;82
lines;81
orbiting;81
stations;81
press;77
criminal;77
nicolas;77
private;77
debt;76
protecting;75
purchase;74
sponsoring;73
approved;71
may;71
fast;70
economic;70
taking;70
drill;69
fewer;69
pumping;69
rigs;69
wells;69
sucks;69
violated;69
mainstream;69
cost;69
hope;68
also;68
production;68
inmoral;68
good;67
dictators;67
view;66
price;66
narco;66
continue;66
prices;65
financial;64
right;63
declaration;63
give;63
worlds;62
care;62
hey;62
goldmansac‚Ä;61
value;61
president;61
advantage;60
role;60
suffering;60
see;60
better;60
firm;60
murderers;59
talksatgs;58
murder;57
falling;57
use;57
giving;56
discount;56
innocent;56
curve;56
kicking;56
profit;55
young;55
projects;55
aged;54
investing;54
noah;54
poponak;54
researchs;54
quick;53
way;53
regarding;52
history;51
accomplice;50
back;50
stained;50
still;49
tyranny;49
even;49
decided;48
add;48
growth;48
ethics;48
last;47
kill‚Ä;47
didnt;47
share;46
lives;46
govt;45
fuck;45
well;45
statement;44
needs;44
dictatorial;44
banks;44
front;44
japans;43
first;43
much;43
keep;43
never;43
question;42
kills;42
violation;42
profits;42
shameful;42
think;42
getting;41
unethical;41
death;41
cut;41
greed;41
protesters;40
directly;40
heart;40
live;40
vzlas;40
power;40
shares;40
bpd;40
mln;40
grow;40
page;40
vzla;39
ask;39
time;39
remain;39
markets;39
congratulations;39
without;39
sure;39
strong;38
central;38
financed;38
forecasts;38
sees;38
unch;38
venezuelalibre;38
million;38
real;37
matter;37
humanrights;37
fund;37
goldmansachsbloodmoney;37
want;37
explains;36
execs;36
bullets;36
street;36
thats;36
corrupt;36
times;36
read;36
forecasting;36
terrorist;36
h‚Ä;36
murders;36
crisis;35
investigate;35
got;35
goldmanfundsmaduro;35
room;35
life;35
citizens;34
violence;34
cover;34
sou‚Ä;34
near;34
coming;34
wrong;34
democracy;34
tainted;34
gnodde;33
richard;33
criminals;33
goverment;33
genocidal;33
authoritarian;33
bren‚Ä;33
rangebound;33
moral;32
goldmanfinancesthedi‚Ä;32
leading;32
students;32
equity;32
wall;32
part;32
usa;32
forget;32
narcogovernment;32
smartphone;32
sanctions;32
broker;31
name;31
shift;31
whole;31
every;31
apparel;31
isnt;31
bloodmoney;31
stay;31
goldma‚Ä;31
line;31
convenes;30
shaping;30
thinkers;30
situation;30
worst;30
demographic;30
facing;30
japanthe;30
societyis;30
unprecedented;30
deals;30
legal;30
look;30
pirates;30
capitalism;30
probably;30
repress;30
implications;29
paid;29
robert;29
smith;29
vista;29
john;29
hungerbonds;29
global;29
alpha;29
dark;29
caribbean;29
drive;29
hes;29
europe;29
controversy;29
dying;28
revolution;28
die;28
a‚Ä;28
venezuela‚Ä;28
jobs;28
makes;28
happy;28
sucking;28
principle;28
providing;28
peoplefor;27
narcodictatorship;27
early;27
probe;27
building;27
mackey;27
become;27
say;27
deadly;27
pays;27
dealing;27
looks;27
international;27
dictatorships;27
oxygen;27
transactions;27
nazi;27
society;26
nice;26
diversity;26
gender;26
days;26
breakeven;26
gains;26
fire;26
proud;26
lack;26
case;26
currently;25
ve‚Ä;25
goes;25
helps;25
aging;25
truly;25
legislature;25
protested;25
used;25
dead;25
partners;25
guess;25
w‚Ä;25
doesnt;25
